City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Mukhen,RU,2021-04-02 17:38:40,48.1,136.1,45.05,73,100,16.46
116,Mbaiki,CF,2021-04-02 17:38:41,3.8678,17.9892,79.38,54,74,3.69
117,Vangaindrano,MG,2021-04-02 17:38:41,-23.35,47.6,74.44,68,60,4.34
118,Qaanaaq,GL,2021-04-02 17:38:42,77.484,-69.3632,-13.23,71,100,13.71
119,Sept-Iles,CA,2021-04-02 17:38:42,50.2001,-66.3821,30.99,69,90,4.61
120,Cabo San Lucas,MX,2021-04-02 17:38:00,22.8909,-109.9124,88.0,26,20,6.91
121,Edson,CA,2021-04-02 17:38:43,53.5835,-116.4356,30.2,86,90,6.91
122,Kindu,CD,2021-04-02 17:38:43,-2.95,25.95,74.62,87,77,2.06
123,Sobolevo,RU,2021-04-02 17:38:44,54.4299,31.8996,37.47,71,68,6.53
124,Ulladulla,AU,2021-04-02 17:38:44,-35.35,150.4667,59.0,94,10,8.05
125,La Rioja,ES,2021-04-02 17:38:45,42.25,-2.5,71.6,30,0,10.36
126,Ludza,LV,2021-04-02 17:38:45,56.55,27.7167,36.18,85,100,4.43
127,Coihaique,CL,2021-04-02 17:38:45,-45.5752,-72.0662,60.8,67,75,11.5
128,Soma,TR,2021-04-02 17:38:45,39.1855,27.6094,59.0,51,0,9.22
129,Carnarvon,AU,2021-04-02 17:38:46,-24.8667,113.6333,78.8,94,12,14.97
130,Bengkulu,ID,2021-04-02 17:38:46,-3.8004,102.2655,76.55,89,97,9.15
131,Puerto Escondido,MX,2021-04-02 17:38:46,15.85,-97.0667,86.0,74,1,7.99
132,Nome,US,2021-04-02 17:38:47,64.5011,-165.4064,8.6,78,90,27.63
133,Berbera,SO,2021-04-02 17:38:47,10.4396,45.0143,79.16,66,2,2.3
134,Dukat,RU,2021-04-02 17:38:47,62.55,155.55,-12.62,99,96,5.53
135,Vestmanna,FO,2021-04-02 17:38:48,62.1564,-7.1664,44.6,76,75,13.8
136,Mountain Home,US,2021-04-02 17:38:48,43.133,-115.6912,59.0,23,1,6.91
137,Apatou,GF,2021-04-02 17:38:49,5.155,-54.3472,84.92,64,95,5.03
138,Rio Gallegos,AR,2021-04-02 17:38:49,-51.6226,-69.2181,59.0,38,0,13.8
139,Mogadishu,SO,2021-04-02 17:34:20,2.0371,45.3438,82.22,78,18,14.83
140,Bambous Virieux,MU,2021-04-02 17:38:49,-20.3428,57.7575,78.8,94,40,5.75
141,Hasaki,JP,2021-04-02 17:38:50,35.7333,140.8333,53.6,82,75,4.61
142,Kavieng,PG,2021-04-02 17:38:50,-2.5744,150.7967,82.2,79,100,8.01
143,Hithadhoo,MV,2021-04-02 17:38:50,-0.6,73.0833,83.53,77,22,20.04
144,Teguldet,RU,2021-04-02 17:38:51,57.3064,88.1667,28.33,93,100,11.1
145,Isangel,VU,2021-04-02 17:34:08,-19.55,169.2667,78.46,87,97,5.26
146,Lorengau,PG,2021-04-02 17:38:51,-2.0226,147.2712,81.03,77,98,4.36
147,Port Lincoln,AU,2021-04-02 17:38:52,-34.7333,135.8667,69.31,53,0,6.44
148,Konevo,RU,2021-04-02 17:38:52,62.1215,39.3192,29.77,97,99,1.83
149,Ballina,AU,2021-04-02 17:38:53,-28.8667,153.5667,71.6,60,90,12.66
150,Jacobina,BR,2021-04-02 17:38:53,-11.1806,-40.5183,93.88,28,49,7.56
151,Senador Jose Porfirio,BR,2021-04-02 17:38:53,-2.5908,-51.9542,77.36,84,100,2.86
152,Road Town,VG,2021-04-02 17:38:54,18.4167,-64.6167,82.4,57,20,18.41
153,Nuevo Progreso,MX,2021-04-02 17:38:54,23.1667,-97.95,71.01,60,100,3.0
154,Roanoke,US,2021-04-02 17:36:32,37.271,-79.9414,44.01,30,20,14.97
155,Pacific Grove,US,2021-04-02 17:34:03,36.6177,-121.9166,57.0,71,40,12.66
156,Norman Wells,CA,2021-04-02 17:38:54,65.282,-126.8329,-0.4,71,75,8.05
157,Itarema,BR,2021-04-02 17:38:55,-2.9248,-39.9167,85.64,62,17,12.86
158,San Cristobal,VE,2021-04-02 17:38:55,7.7669,-72.225,82.4,57,75,17.27
159,Guerrero Negro,MX,2021-04-02 17:38:56,27.9769,-114.0611,66.65,55,16,14.38
160,Lavrentiya,RU,2021-04-02 17:38:56,65.5833,-171.0,8.02,94,100,15.3
161,Soure,BR,2021-04-02 17:38:57,-0.7167,-48.5233,81.59,76,56,0.34
162,Bay Roberts,CA,2021-04-02 17:38:57,47.5999,-53.2648,55.0,81,75,9.22
163,Santa Helena De Goias,BR,2021-04-02 17:38:57,-17.8136,-50.5969,90.72,36,57,2.06
164,Bereda,ES,2021-04-02 17:38:58,43.2686,-7.5406,64.0,73,74,10.0
165,Langsa,ID,2021-04-02 17:38:58,4.4683,97.9683,75.42,90,70,1.68
166,Lagoa,PT,2021-04-02 17:38:59,39.05,-27.9833,60.39,82,100,20.29
167,Saldanha,ZA,2021-04-02 17:38:59,-33.0117,17.9442,68.0,56,58,8.05
168,Cherskiy,RU,2021-04-02 17:38:59,68.75,161.3,-18.85,93,50,6.8
169,Sisimiut,GL,2021-04-02 17:39:00,66.9395,-53.6735,12.2,73,100,6.42
170,Chardara,KZ,2021-04-02 17:39:00,41.2547,67.9692,47.86,37,2,7.87
171,Bontang,ID,2021-04-02 17:39:01,0.1333,117.5,78.57,87,100,2.77
172,Kruisfontein,ZA,2021-04-02 17:39:01,-34.0033,24.7314,61.0,88,73,1.99
173,Lompoc,US,2021-04-02 17:39:01,34.6391,-120.4579,63.0,82,3,6.91
174,Adrar,MR,2021-04-02 17:39:02,20.5022,-10.0711,97.39,4,31,6.91
175,Ahipara,NZ,2021-04-02 17:39:02,-35.1667,173.1667,63.75,82,55,11.25
176,Chokurdakh,RU,2021-04-02 17:39:02,70.6333,147.9167,-5.46,99,100,3.94
