City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
52,Nantucket,US,44.01,overcast clouds,41.2835,-70.0995,Jared Coffin House
53,Guerrero Negro,MX,65.14,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
54,Ushuaia,AR,42.8,broken clouds,-54.8,-68.3,Albatros Hotel
55,Wasilla,US,28.4,scattered clouds,61.5814,-149.4394,Alaska's Select Inn Wasilla
56,Klaksvik,FO,28.4,light snow,62.2266,-6.589,Airbnb rooms
57,Bhimunipatnam,IN,84.2,mist,17.8833,83.4333,Bheemili Court
58,Urusha,RU,12.78,clear sky,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
59,Rybnaya Sloboda,RU,33.8,clear sky,55.4613,50.1409,Гостиница Аяз
60,Mount Gambier,AU,57.2,clear sky,-37.8333,140.7667,Commodore on the Park
61,San Patricio,US,77.0,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
62,Tazovskiy,RU,32.36,light snow,67.4667,78.7,TazHostel
64,Okha,RU,14.38,few clouds,53.5739,142.9478,Империя
65,Ixtapa,MX,69.8,clear sky,20.7,-105.2,Hotel Plaza Providencia
66,Hermanus,ZA,62.01,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
69,Chuy,UY,77.59,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
70,Mar Del Plata,AR,71.6,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
71,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
72,Lazaro Cardenas,MX,82.17,clear sky,17.9583,-102.2,Hotel Quinta Antigua
73,Batsfjord,NO,33.8,light snow,70.6345,29.7185,Adventure Apartements
74,Waipawa,NZ,61.0,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
75,Rodeo,US,52.0,overcast clouds,38.033,-122.2669,Captain's Cottage
76,Ahipara,NZ,62.08,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
77,Ca Mau,VN,81.66,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
78,Cabo San Lucas,MX,78.8,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
79,Vaini,TO,62.6,few clouds,-21.2,-175.2,Keleti Beach Resort
